Date,Adj Close,Volume
2016-05-11,17.500154,3027500
2016-05-12,17.891876,2101900
2016-05-13,17.441395,1431200
2016-05-16,17.431601,913900
2016-05-17,17.265120,1144400
2016-05-18,17.176985,1689600
2016-05-19,17.118225,878900
2016-05-20,17.265120,782000
2016-05-23,17.235743,1188300
2016-05-24,17.304293,615400
2016-05-25,17.108431,1744500
2016-05-26,17.216156,1057400
2016-05-27,17.333672,719800
2016-05-31,17.098639,2346400
2016-06-01,16.922365,1009200
2016-06-02,16.971331,964900
2016-06-03,16.481678,1726700
2016-06-06,16.452299,3275000
2016-06-07,16.383747,1274300
2016-06-08,16.393539,1114500
2016-06-09,16.138922,1298800
2016-06-10,15.864717,1166900
2016-06-13,15.521960,1564000
2016-06-14,15.433823,2049900
2016-06-15,15.424030,1025900
2016-06-16,15.443881,859700
2016-06-17,15.185822,2086600
2016-06-20,15.205671,1339400
2016-06-21,14.977388,1944500
2016-06-22,14.937687,699000
2016-06-23,15.066717,947300
2016-06-24,14.391791,4149200
2016-06-27,13.697015,3538300
2016-06-28,13.855821,2879400
2016-06-29,14.123806,1148200
2016-06-30,14.223060,1113700
2016-07-01,14.064254,1022900
2016-07-05,13.974925,1345900
2016-07-06,14.024552,1202300
2016-07-07,13.895522,1194200
2016-07-08,14.371940,1694800
2016-07-11,14.868209,2434200
2016-07-12,14.749104,1399100
2016-07-13,14.630000,1129200
2016-07-14,14.481120,1344500
2016-07-15,14.610149,977300
2016-07-18,14.610149,824000
2016-07-19,14.778881,1149100
2016-07-20,15.215597,2151900
2016-07-21,15.354552,2026400
2016-07-22,15.562985,1795100
2016-07-25,15.731717,1775300
2016-07-26,15.632463,1824400
2016-07-27,14.987314,1511000
2016-07-28,15.205671,1096100
2016-07-29,15.285074,1067200
2016-08-01,14.897985,2098200
2016-08-02,14.262761,2577300
2016-08-03,14.729254,3079600
2016-08-04,12.783881,14640400
2016-08-05,13.111418,4954600
2016-08-08,13.061791,2253400
2016-08-09,12.883134,1656500
2016-08-10,13.032015,1724700
2016-08-11,13.141194,2335700
2016-08-12,13.240448,1806200
2016-08-15,12.992313,1341200
2016-08-16,12.912910,1097200
2016-08-17,13.230522,2059700
2016-08-18,12.962538,2087900
2016-08-19,12.793806,1100500
2016-08-22,13.032015,1993400
2016-08-23,13.329777,1695500
